"tit_projeto" "descricao" "autor_situacao"
ARQUIVADO"
"53" "PROC. 00325/08 - PDL 002/08" "Concede ao prefeito municipal em exercicio, senhor eliseu santos, licenca para afastamento do cargo, de 17 de janeiro ate 21 de janeiro de 2008, para tratar de assuntos de interesse pessoal." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"54" "PROC. 00106/08 - PDL 001/08" "Autoriza o prefeito municipal a ausentar-se do municipio e do pais, de 12 de janeiro ate 23 de janeiro de 2008, para viajar a nova deli (india)." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"55" "PROC. 07373/07 - PDL 010/07" "Autoriza o prefeito municipal a ausentar-se do pais, de 29 de setembro ate 7 de outubro de 2007, para viajar a hamburg e berlin (alemanha)." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"56" "PROC. 04086/07 - PDL 009/07" "Aprova as contas do municipio de porto alegre referentes ao exercicio de 2003." "Autor
COMISS ECONOM FINANCAS ORCAM E MERCOSUL
Situação
ARQUIVADO"
"57" "PROC. 03688/07 - PDL 008/07" "Aprova as contas do municipio de porto alegre referentes ao exercicio de 1997." "Autor
COMISS ECONOM FINANCAS ORCAM E MERCOSUL
Situação
ARQUIVADO"
"58" "PROC. 03627/07 - PDL 007/07" "Aprova as contas do municipio de porto alegre referentes ao exercicio de 2004." "Autor
COMISS ECONOM FINANCAS ORCAM E MERCOSUL
Situação
ARQUIVADO"
"59" "PROC. 03626/07 - PDL 006/07" "Aprova as contas do municipio de porto alegre referentes ao exercicio de 2001." "Autor
COMISS ECONOM FINANCAS ORCAM E MERCOSUL
Situação
ARQUIVADO"
"60" "PROC. 02845/07 - PDL 005/07" "Aprova a prestacao de contas do municipio de porto alegre referente ao exercicio de 2000." "Autor
COMISS ECONOM FINANCAS ORCAM E MERCOSUL
Situação
ARQUIVADO"
"61" "PROC. 02839/07 - PDL 004/07" "Aprova a prestacao de contas do municipio de porto alegre referente ao exercicio de 2002." "Autor
COMISS ECONOM FINANCAS ORCAM E MERCOSUL
Situação
ARQUIVADO"
"62" "PROC. 01858/07 - PDL 003/07" "Autoriza o prefeito municipal a ausentar-se do pais de 17 de abril ate 23 de abril de 2007, para viajar a miami (estados unidos)." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"63" "PROC. 01334/07 - PDL 002/07" "Autoriza o prefeito municipal a ausentar-se do pais de 17 de marco ate 18 de marco de 2007, para viajar a montevideo (uruguai)." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"64" "PROC. 00865/07 - PDL 001/07" "Autoriza o prefeito municipal a ausentar-se do pais de 24 de fevereiro ate 6 de marco de 2007, para viajar a montreal (canada) e washington (estados unidos)." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"65" "PROC. 05066/06 - PDL 009/06" "Altera o art. 1 do decreto legislativo n. 366, de 13 de outubro de 2006." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"66" "PROC. 04899/06 - PDL 008/06" "Autoriza o prefeito municipal a ausentar-se do pais de 22 a 25 de outubro de 2006, para viajar a londres (inglaterra)." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"67" "PROC. 04666/06 - PDL 007/06" "Autoriza o prefeito municipal a ausentar-se do municipio e do pais, de 02 a 07 de outubro de 2006, para viajar a washington estados unidos da america." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"68" "PROC. 04639/06 - PDL 006/06" "Autoriza o vice-prefeito municipal a ausentar-se do pais, de 18 a 29 de setembro de 2006, para viajar a suzhou (china)." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"69" "PROC. 03384/06 - PDL 005/06" "Autoriza o prefeito municipal a ausentar-se do pais, de 18 a 27 de junho de 2006, para viajar a vancouver (canada)." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"70" "PROC. 02082/06 - PDL 004/06" "Autoriza o prefeito municipal a ausentar-se do pais, de 18 de abril a 27 de abril de 2006, para viajar a sagrate (italia), bruxelas (belgica) e bremen (alemanha)." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"71" "PROC. 01248/06 - PDL 003/06" "Autoriza o vice-prefeito municipal a ausetar-se do municipio, de 15 a 21 de marco de 2006, para viajar a maceio." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"72" "PROC. 00915/06 - PDL 002/06" "A informar" "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
EM TRAMITACAO"
"73" "PROC. 00704/06 - PDL 001/06" "Autoriza o prefeito municipal a ausentar-se do pais, de 7 a 21 de fevereiro de 2006, para viajar a alemanha e a espanha." "Autor
COMISSAO REPRESENTATIVA
Situação
ARQUIVADO"
"74" "PROC. 06664/05 - PDL 006/05" "Autoriza o prefeito municipal a ausentar-se do pais, de 13 a 20 de novembro de 2005, para viajar a washington." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"75" "PROC. 05594/05 - PDL 005/05" "Autoriza o vice-prefeito municipal a ausentar-se do pais, 22 a 28 de setembro de 2005, para viajar aos estados unidos." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"76" "PROC. 05569/05 - PDL 004/05" "Autoriza o prefeito municipal a ausentar-se do pais, de 15 a 18 de setembro de 2005, para viajar a nova york." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"77" "PROC. 05402/05 - PDL 003/05" "Autoriza o prefeito municipal a ausentar-se do pais, de 6 a 9 de setembro de 2005, para viajar a argentina." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
